"","Status","B_access","B_use","B_order","B_hrst","G_access","G_use","G_order","G_hrst"
"65","Resistant",83.84,81.99,49.46,29.3,5.29580152671755,-4.59812172216123,16.1140315406389,-3.41296928327645
"66","Resistant",92.11,86.17,56.29,50,2.27988274888719,8.1002669142393,30.2185112808669,5.8
"67","Resistant",88.8,83.21,51.83,31.5,-1.79054054054054,3.24480230741498,10.2257379895813,7.93650793650794
"68","Non-resistant",87.95,85.05,59.3,27.8,3.77487208641273,-0.928865373309808,5.34569983136594,4.31654676258993
"69","Non-resistant",85.46,76.62,48.78,25.2,0.444652468991352,7.23048812320542,22.2017220172202,19.8412698412698
"70","Non-resistant",85.21,77.33,45.79,24.2,1.72514963032509,5.2760894866158,29.0893208124045,4.13223140495868
"71","Non-resistant",81.61,75.18,44.86,22.6,2.63448106849651,3.53817504655493,22.2915737851092,-2.21238938053097
"72","Non-resistant",82.88,76.14,39.85,22.4,3.14913127413127,6.85579196217494,34.2534504391468,0
"73","Non-resistant",82.13,76.46,45.25,25.3,0.961889687081464,4.62987182840702,22.5193370165746,2.76679841897233
"74","Non-resistant",84.64,76.53,42.43,32.6,4.43052930056711,3.58029530902913,11.8548197030403,-1.22699386503067
"75","Non-resistant",86.26,75.81,47.35,27.9,1.42592163227451,2.20287561007783,8.74340021119324,-3.584229390681
"76","Non-resistant",85.9,75.96,41.81,32,4.30733410942956,4.94997367035282,19.9473810093279,-2.1875
"77","Non-resistant",88.29,78.8,47.32,35.1,2.0500622947106,0.964467005076149,5.09298393913778,1.42450142450142
"78","Non-resistant",85.13,70.68,37.88,28,1.80899800305416,3.1409168081494,6.01900739176345,5.71428571428572
"79","Non-resistant",79.8,65.13,35.16,30,1.81704260651629,7.46199907876554,12.542662116041,0.666666666666664
"80","Non-resistant",79.75,65.56,23.85,23.3,6.50783699059561,5.90298962782185,26.5828092243187,5.15021459227467
"81","Non-resistant",78.51,64.05,28.88,23.5,4.21602343650489,5.15222482435597,24.7576177285319,3.40425531914894
"82","Non-resistant",79.9,65.92,32.2,25.8,1.11389236545682,1.44114077669903,16.3664596273292,6.97674418604651
"83","Non-resistant",76.99,63.75,28.57,21.5,0.50655929341473,4.3764705882353,10.4655232761638,0.465116279069774
"84","Non-resistant",77.97,69.49,25.7,23,2.43683468000514,-1.39588429989926,28.1322957198444,3.04347826086956
"85","Non-resistant",85.4,70.27,38.48,24.3,1.22950819672131,4.21232389355345,13.5654885654886,7.40740740740741
"86","Non-resistant",88.07,78.07,44.24,28.5,4.73486998978086,8.87664916100936,8.79294755877035,5.26315789473684
"87","Non-resistant",92.16,80.71,49.22,31.6,1.36718750000001,0.173460537727668,11.1540024380333,1.89873417721519
"88","Non-resistant",88.89,75.8,40.73,29.2,2.87996400045,5.03957783641162,21.0164497913086,0
"89","Resistant",88.33,80.17,45.97,30.1,5.54737914638289,1.25982287638768,11.376984990211,0.332225913621255
"90","Non-resistant",90.32,80.65,45.5,33.2,1.93755535872453,2.57904525728456,13.010989010989,0.903614457831317
"91","Non-resistant",86.52,79.23,45.28,29.3,6.10263522884882,3.86217341915941,7.48674911660777,-0.682593856655288
"92","Non-resistant",86.26,73.65,37.83,28.2,0.904242986320428,7.35913102511879,21.0679355009252,1.06382978723405
"93","Non-resistant",87.02,75.69,38.62,27.3,4.15996322684441,1.0173074382349,12.5323666494045,6.22710622710622
"94","Non-resistant",88.01,75.81,39.9,33.5,4.6358368367231,6.52948159873368,20.6265664160401,2.38805970149253
"95","Non-resistant",83.39,81.55,53.85,40.5,3.8373905744094,5.60392397302269,15.3574744661096,1.48148148148148
"96","Non-resistant",80.77,80.34,46.16,27.1,-0.532375882134447,0,9.01213171577124,1.10701107011069
"97","Non-resistant",95.2,92.59,72.13,53.8,-1.71218487394959,4.08251431040069,8.92832385969776,1.85873605947955
"98","Non-resistant",85.45,83.72,46.6,30.1,5.00877706260971,3.77448638318203,20.6437768240343,2.65780730897009
"99","Resistant",86.08,85.1,57.8,32.3,4.97211895910781,1.56286721504114,8.66782006920416,1.54798761609907
"100","Resistant",95.56,89.52,76.08,40.3,0.502302218501469,5.25022341376229,10.0157728706625,3.22580645161291
"101","Non-resistant",97.17,94.3,76.48,36.3,-0.792425645775441,-0.349946977730645,13.8859832635983,1.10192837465566
"102","Non-resistant",96.16,96.13,83.82,36.8,1.75748752079867,-2.70467075834806,1.34812693867813,4.8913043478261
"103","Non-resistant",96.68,94.71,79.15,39,0.827472072817539,0.802449582937393,8.25015792798484,3.33333333333333
"104","Non-resistant",99.18,94.21,82,40.8,-1.97620488001614,0.360895870926657,7.52439024390244,3.18627450980393
"105","Resistant",99.22,94.46,77.22,39.9,-0.483773432775654,0.201143341096773,12.5744625744626,1.00250626566416
"106","Resistant",98.29,97.76,89.35,50.8,-1.38366059619493,-3.56996726677579,1.09681029658646,1.57480314960631
"107","Non-resistant",99.05,97.42,83.68,47.3,-1.18122160524988,-4.13672757134059,4.80401529636711,-0.422832980972507
"108","Resistant",98.46,94.42,81.75,43,-2.13284582571602,-3.55856809997882,4.33027522935781,6.27906976744187
"109","Resistant",98.74,93.21,75.28,33.6,-4.17257443791775,-0.890462396738546,15.2098831030818,7.44047619047619
"110","Resistant",98.66,95.96,80.1,38.6,-1.75349685789579,-3.33472280116714,6.55430711610487,4.66321243523315
"111","Non-resistant",99.19,96.18,76.73,36.3,-3.14547837483618,-2.89041380744438,12.5765671836309,3.58126721763087
"112","Non-resistant",77.92,67.01,33.86,26.3,4.96663244353183,8.56588568870317,16.5386887182516,5.70342205323194
"113","Non-resistant",80.29,74.28,39.31,20.2,6.8003487358326,5.91007000538503,14.1185448995167,11.8811881188119
"114","Non-resistant",76.74,71.44,36.77,25,4.70419598644775,1.65173572228444,21.7296709273864,8.8
"115","Non-resistant",88.73,82.5,46.57,38.3,2.47943198467261,1.62424242424243,11.6383938157612,6.26631853785902
"116","Non-resistant",73.87,67.3,38.94,22.5,9.04291322593745,10.148588410104,12.6091422701592,3.99999999999999
"117","Non-resistant",85.77,75.31,40.22,21.1,2.37845400489682,-0.69047935201168,3.15763301839881,6.16113744075828
"118","Non-resistant",86.05,74.49,36.79,23.4,2.23126089482859,4.22875553765607,2.39195433541724,6.41025641025641
"119","Non-resistant",86.58,80.33,28.66,20.9,3.6960036960037,0.809162205900667,40.2302861130495,4.30622009569379
"120","Resistant",83.63,69.91,27.11,22.9,2.03276336242975,6.78014590187385,45.5551457026927,-6.11353711790392
"121","Non-resistant",79.97,68.96,17.88,13.6,2.3133675128173,6.26450116009282,79.2505592841163,-2.20588235294117
"122","Resistant",78.8,65.79,19.11,18.3,2.19543147208122,10.5487156102751,58.0847723704867,-2.73224043715847
"123","Non-resistant",79.63,68.54,20.34,15.3,4.11905060906694,7.01779982491974,55.6047197640118,2.61437908496731
"124","Non-resistant",90.93,74.92,31.39,42.1,5.45474540855602,6.84730379071008,79.7069130296273,-3.08788598574823
"125","Resistant",83.96,69.4,22.1,17.5,1.10767031919963,5.93659942363111,61.5384615384615,5.71428571428571
"126","Non-resistant",88.17,76.03,22.73,20.5,3.45922649427242,7.91792713402604,69.7316322041355,-3.90243902439025
"127","Non-resistant",95.04,95.39,82.7,54.1,1.64141414141413,1.52007547961003,6.37243047158403,0.924214417744917
"128","Non-resistant",95.2,96.38,81.43,42.8,-0.640756302521008,-1.76385142145672,3.954316590937,1.40186915887851
"129","Non-resistant",98.3,95.49,81.04,37,-3.61139369277721,-0.942507068803007,0.370187561697923,4.86486486486486
"130","Non-resistant",95.28,94.23,80.19,45.3,-0.629722921914352,1.4645017510347,2.03267240304277,-2.2075055187638
"131","Non-resistant",97.41,96.02,83.66,42.9,-3.55199671491633,0.135388460737356,0.8247669136983,4.19580419580421
"132","Non-resistant",94.11,91.1,79.97,36.3,-9.08511316544469,0.746432491767296,1.13792672252094,2.47933884297522
"133","Non-resistant",100,96.31,79.82,42.4,-5.61,0.186896480116283,-2.34277123527937,2.35849056603774
"134","Resistant",97.2,98.36,87.4,39.9,-7.70576131687244,-4.62586417242781,-3.42105263157896,-1.75438596491227
"135","Non-resistant",86.65,77.45,49.37,30.9,3.21984997114829,7.26920593931568,22.7466072513672,5.1779935275081
"136","Non-resistant",91.71,84.91,62.64,38.4,-1.1994329953113,3.56848427747026,4.54980842911877,4.42708333333334
"137","Non-resistant",83.72,80.46,56.13,45.8,7.65647396082178,13.3979617201094,29.0931765544272,-3.71179039301309
"138","Non-resistant",82.49,84.03,66.44,24.7,3.07916111043764,4.97441389979768,-8.05237808549066,3.23886639676114
"139","Non-resistant",80.56,79.91,57.2,25.4,6.67825223435948,11.2001001126267,10.7517482517482,0.787401574803161
"140","Non-resistant",82.56,81.92,57.05,24.2,2.30135658914728,5.33447265625001,3.71603856266434,11.5702479338843
